mean_test_score,std_test_score,param_bootstrap,param_criterion,param_max_depth,param_n_estimators,tag
1.0,0.0,True,entropy,3.0,10,default
0.9839743589743588,0.0320833173236979,True,entropy,3.0,20,default
1.0,0.0,True,entropy,3.0,50,default
1.0,0.0,True,entropy,3.0,100,default
0.8666666666666668,0.1347618251097221,True,entropy,4.0,1,default
0.9615384615384616,0.0788226981996892,True,entropy,4.0,2,default
1.0,0.0,True,entropy,4.0,5,default
1.0,0.0,True,entropy,4.0,10,default
1.0,0.0,True,entropy,4.0,20,default
1.0,0.0,True,entropy,4.0,50,default
1.0,0.0,True,entropy,4.0,100,default
0.9692307692307692,0.0615384615384615,True,entropy,5.0,1,default
0.9846153846153848,0.0461538461538461,True,entropy,5.0,2,default
0.9923076923076924,0.023076923076923,True,entropy,5.0,5,default
0.9923076923076924,0.023076923076923,True,entropy,5.0,10,default
1.0,0.0,True,entropy,5.0,20,default
1.0,0.0,True,entropy,5.0,50,default
1.0,0.0,True,entropy,5.0,100,default
0.9923076923076924,0.023076923076923,True,entropy,10.0,1,default
0.9923076923076924,0.023076923076923,True,entropy,10.0,2,default
1.0,0.0,True,entropy,10.0,5,default
1.0,0.0,True,entropy,10.0,10,default
0.9916666666666666,0.025,True,entropy,10.0,20,default
1.0,0.0,True,entropy,10.0,50,default
1.0,0.0,True,entropy,10.0,100,default
0.9916666666666666,0.025,True,entropy,20.0,1,default
0.9538461538461538,0.0784464540552736,True,entropy,20.0,2,default
0.9923076923076924,0.023076923076923,True,entropy,20.0,5,default
1.0,0.0,True,entropy,20.0,10,default
1.0,0.0,True,entropy,20.0,20,default
1.0,0.0,True,entropy,20.0,50,default
1.0,0.0,True,entropy,20.0,100,default
0.9615384615384616,0.0926276506060945,False,gini,,1,default
0.9615384615384616,0.0788226981996892,False,gini,,2,default
0.9692307692307692,0.0510249967746984,False,gini,,5,default
1.0,0.0,False,gini,,10,default
1.0,0.0,False,gini,,20,default
1.0,0.0,False,gini,,50,default
1.0,0.0,False,gini,,100,default
0.8358974358974359,0.1543581224953067,False,gini,1.0,1,default
0.8884615384615385,0.1774657230009127,False,gini,1.0,2,default
0.912179487179487,0.121424876600564,False,gini,1.0,5,default
0.9685897435897436,0.0385095853740399,False,gini,1.0,10,default
0.9679487179487178,0.0393069479916817,False,gini,1.0,20,default
0.9762820512820513,0.0362675516918349,False,gini,1.0,50,default
0.9679487179487178,0.0393069479916817,False,gini,1.0,100,default
0.8532051282051283,0.1210316844427658,False,gini,2.0,1,default
0.9525641025641024,0.0999753421275995,False,gini,2.0,2,default
0.9115384615384616,0.1650264457917302,False,gini,2.0,5,default
0.9923076923076924,0.023076923076923,False,gini,2.0,10,default
1.0,0.0,False,gini,2.0,20,default
0.9923076923076924,0.023076923076923,False,gini,2.0,50,default
0.9839743589743588,0.0320833173236979,False,gini,2.0,100,default
0.9224358974358976,0.1088026550755048,False,gini,3.0,1,default
0.9846153846153848,0.0307692307692307,False,gini,3.0,2,default
1.0,0.0,False,gini,3.0,5,default
0.9916666666666666,0.025,False,gini,3.0,10,default
1.0,0.0,False,gini,3.0,20,default
1.0,0.0,False,gini,3.0,50,default
1.0,0.0,False,gini,3.0,100,default
0.9692307692307692,0.0615384615384615,False,gini,4.0,1,default
0.9685897435897436,0.0516373907003752,False,gini,4.0,2,default
0.9923076923076924,0.023076923076923,False,gini,4.0,5,default
1.0,0.0,False,gini,4.0,10,default
1.0,0.0,False,gini,4.0,20,default
1.0,0.0,False,gini,4.0,50,default
1.0,0.0,False,gini,4.0,100,default
0.9839743589743588,0.0320833173236979,False,gini,5.0,1,default
0.946153846153846,0.0600788436608204,False,gini,5.0,2,default
0.976923076923077,0.0492548018264065,False,gini,5.0,5,default
1.0,0.0,False,gini,5.0,10,default
1.0,0.0,False,gini,5.0,20,default
1.0,0.0,False,gini,5.0,50,default
1.0,0.0,False,gini,5.0,100,default
0.9923076923076924,0.023076923076923,False,gini,10.0,1,default
0.9762820512820513,0.0362675516918349,False,gini,10.0,2,default
0.9923076923076924,0.023076923076923,False,gini,10.0,5,default
1.0,0.0,False,gini,10.0,10,default
